:START_ID,:END_ID,relation,:TYPE
2064,3025,cooperate,cooperate
2066,3061,cooperate,cooperate
2066,3027,cooperate,cooperate
2034,3066,cooperate,cooperate
2034,3091,cooperate,cooperate
2017,3005,cooperate,cooperate
2017,3155,cooperate,cooperate
2030,3077,cooperate,cooperate
2030,3110,cooperate,cooperate
2056,3128,cooperate,cooperate
2056,3167,cooperate,cooperate
2006,3070,cooperate,cooperate
2006,3096,cooperate,cooperate
2028,3038,cooperate,cooperate
2028,3156,cooperate,cooperate
2013,3106,cooperate,cooperate
2013,3071,cooperate,cooperate
2040,3154,cooperate,cooperate
2040,3092,cooperate,cooperate
2049,3033,cooperate,cooperate
2049,3089,cooperate,cooperate
2049,3033,cooperate,cooperate
2049,3089,cooperate,cooperate
